V,f,ap,D,work_material,Ra,timp
278.0448,0.2581,3.0433,12,2,60.1261,3.1503
159.3123,0.1162,1.5666,16,0,8.6101,16.2791
181.3499,0.0747,3.4029,20,1,1.9241,27.8093
286.6229,0.2541,1.4853,20,0,29.9364,5.1726
262.4082,0.2464,3.5546,10,1,37.7272,2.9144
312.3059,0.132,0.894,16,1,6.5142,7.3134
264.4032,0.3353,2.9629,10,1,69.7925,2.1254
242.0772,0.0953,2.3924,10,0,8.4718,8.165
123.4187,0.1797,0.8379,12,2,32.6115,10.1937
191.929,0.3331,1.3466,12,0,90.9902,3.5364
166.3006,0.1759,0.5434,20,1,10.4631,12.8797
160.9974,0.2416,2.1407,10,0,59.025,4.8444
343.2526,0.1693,1.5544,20,2,14.6783,6.4848
198.2744,0.1323,2.5943,16,0,10.8062,11.4945
323.0116,0.3452,1.5403,10,2,124.3787,1.6897
257.7847,0.1728,1.5497,10,2,32.5475,4.2294
298.7028,0.3182,3.1012,16,0,57.5624,3.1712
225.6593,0.119,0.6685,16,1,5.5246,11.2267
244.226,0.1139,3.6601,20,2,7.1055,13.5418
223.1294,0.0593,3.4829,20,0,1.8043,28.458
148.8107,0.2455,2.8373,16,2,44.5536,8.2512
280.613,0.1606,2.5763,20,1,7.9309,8.3632
170.1931,0.3093,3.6231,16,0,59.6898,5.7262
106.079,0.192,1.1487,10,0,38.7194,9.252
261.3681,0.3405,0.7764,10,0,108.5324,2.1172
144.2777,0.1057,1.3383,12,1,6.5483,14.8307
335.1146,0.3106,3.281,10,2,99.6557,1.8101
338.4821,0.283,0.6213,16,0,43.9847,3.1471
328.7161,0.2813,2.5398,20,2,41.0443,4.0753
192.5397,0.3034,3.984,12,2,88.033,3.8697
103.8642,0.2783,3.4949,20,1,27.1278,13.0353
332.0796,0.2379,2.3251,16,0,31.3467,3.8162
207.046,0.0894,0.7227,10,2,9.111,10.1814
341.6637,0.0598,3.4098,12,0,2.5658,11.0731
340.905,0.3263,2.5964,16,0,58.5507,2.7103
313.2524,0.235,0.9023,12,1,27.4875,3.0712
173.6122,0.289,0.8285,12,0,69.6012,4.5065
196.2744,0.1945,3.6837,10,0,37.1298,4.9362
312.7842,0.0852,2.8422,16,2,4.7213,11.3124
179.2305,0.0876,3.4025,20,1,2.5116,24.0112
142.3732,0.2557,3.5764,12,0,55.4785,6.2109
239.2003,0.1791,2.5012,12,2,29.6569,5.2775
334.0387,0.1102,2.3111,20,1,3.6153,10.24
274.0074,0.1975,2.0065,16,1,14.9272,5.5708
242.5153,0.0693,1.6093,12,2,4.2986,13.4593
124.2941,0.2246,2.0211,12,2,50.8649,8.0988
253.7518,0.1307,3.2086,12,2,15.596,6.8169
347.5135,0.2893,2.6067,16,2,53.4104,2.9987
135.021,0.1431,3.6238,16,2,15.1124,15.6003
229.5824,0.1866,2.0518,20,0,16.8226,8.7971
319.3433,0.0535,2.6248,16,0,1.4445,17.6483
285.1922,0.0717,2.7096,16,1,1.971,14.7346
274.2539,0.1677,2.5709,10,0,25.8578,4.0952
275.621,0.194,2.9592,20,0,17.5649,7.0475
189.8728,0.23,1.331,12,0,43.693,5.1768
173.398,0.1375,2.2933,16,2,13.8392,12.6432
302.3403,0.2585,0.8648,12,1,33.49,2.8928
302.5283,0.308,1.8458,12,1,48.003,2.426
316.7681,0.284,2.2068,10,1,48.1609,2.0945
328.3101,0.0619,2.7828,16,1,1.2449,14.8363
227.8356,0.1942,3.8269,20,0,18.0458,8.5182
225.3791,0.0815,2.6023,16,0,3.9321,16.415
299.5738,0.1226,3.1026,12,2,13.2296,6.1549
262.491,0.346,2.2719,20,1,37.5524,4.1488
275.4917,0.0927,2.7194,16,0,5.2866,11.7974
298.9482,0.1997,0.7483,12,0,30.0513,3.7876
322.5013,0.2354,1.3904,12,2,48.0925,2.9774
184.4988,0.2607,1.7665,10,2,78.6117,3.9163
193.8957,0.2179,2.1537,10,2,54.4616,4.4593
123.4955,0.0529,0.6598,10,0,2.9556,28.8216
244.57,0.1479,0.9901,12,0,17.4418,6.2485
108.9856,0.2053,1.4689,16,2,32.1929,13.4715
216.3995,0.0764,3.9004,10,1,3.8563,11.4014
235.6612,0.1552,1.6597,16,2,17.0201,8.2424
171.6353,0.06,2.1871,10,2,3.9556,18.3065
247.7083,0.0736,1.1863,20,2,3.211,20.6751
107.6251,0.1691,2.6377,20,2,17.3586,20.7068
109.337,0.0898,1.4824,10,0,8.5351,19.1852
305.6501,0.2203,1.2245,12,1,24.2662,3.3581
190.0477,0.2568,2.308,10,2,75.8216,3.8597
131.7651,0.2902,0.5193,10,1,57.7926,4.9274
230.5608,0.11,0.5268,12,1,6.1599,8.9106
292.4984,0.1002,1.2667,20,1,3.2142,12.8507
153.9553,0.0814,0.6285,16,2,5.076,24.0625
255.7226,0.2409,0.8781,10,0,54.6484,3.0579
121.3369,0.2619,1.686,12,2,69.0684,7.1132
112.9204,0.0595,3.309,10,1,2.3298,28.0523
232.8387,0.3309,2.5022,12,1,58.3039,2.9347
235.1588,0.0656,2.2943,16,0,2.6211,19.5431
259.3575,0.2124,1.5272,16,2,30.7293,5.4723
281.5228,0.2627,3.7611,20,1,21.1752,5.0946
343.963,0.3113,1.8896,12,0,70.975,2.1115
229.0751,0.2642,0.8048,12,1,37.1623,3.7352
180.7391,0.2905,2.6597,20,0,41.721,7.176
298.7965,0.1518,0.8984,20,0,10.6041,8.3055
167.7081,0.2944,1.7083,12,2,84.474,4.5783
209.7429,0.074,2.2759,20,1,1.7803,24.2655
119.6141,0.3184,3.5598,16,2,76.5379,7.9138
106.3377,0.2143,2.2274,10,1,32.076,8.2683
340.6621,0.2952,2.9579,16,2,56.0402,2.9976
308.995,0.1857,3.9749,20,1,10.5693,6.5669
273.9936,0.2431,0.9602,12,2,53.3913,3.3946
202.2382,0.2079,1.4616,12,0,35.2185,5.3765
143.3236,0.2695,1.881,16,1,30.7417,7.8048
139.1093,0.0745,1.9764,12,1,3.2822,21.818
162.5607,0.0681,1.9386,20,0,2.2912,34.0339
237.3067,0.1241,3.6766,16,2,10.6915,10.2332
278.649,0.0979,2.9991,12,1,4.8956,8.2906
265.0493,0.3115,2.6277,10,1,60.4022,2.2816
169.9835,0.1158,1.5828,10,2,15.6275,9.5741
338.7163,0.3428,3.3833,20,0,52.1522,3.2455
284.4742,0.1511,3.8427,12,2,20.2749,5.2607
238.5885,0.1046,3.3742,20,2,5.9642,15.0933
252.9302,0.2869,0.5055,16,2,56.8062,4.1539
204.9,0.2476,2.7274,10,1,39.8607,3.7134
161.9327,0.1995,0.679,16,0,24.9625,9.3328
188.9932,0.2166,1.4016,12,0,38.7741,5.5225
289.4615,0.2658,0.7083,20,2,37.5829,4.8981
103.5984,0.1185,2.6133,20,1,5.0292,30.6836
129.0182,0.3489,2.9031,20,2,73.1249,8.3706
111.5007,0.3424,0.9007,16,1,50.9793,7.8948
110.1822,0.2451,1.8434,10,1,41.8325,6.9764
313.8651,0.1099,2.0968,16,1,4.4335,8.7419
275.9145,0.2541,1.7917,16,1,25.0867,4.3001
218.5435,0.0717,0.9236,12,0,4.0556,14.4361
124.4585,0.0592,1.9663,12,1,2.0721,30.6865
222.904,0.1273,3.1291,12,1,8.8649,7.9671
218.3679,0.1888,0.7485,10,2,40.4212,4.57
143.3005,0.3105,0.7806,10,2,114.6397,4.2345
208.4629,0.2682,1.7417,12,0,58.4368,4.0444
199.6262,0.2728,3.796,12,2,70.8768,4.1513
253.9625,0.1776,2.84,10,1,20.1993,4.1759
258.7734,0.1538,2.8753,20,2,13.0685,9.4687
111.326,0.1613,1.7667,10,0,27.1288,10.491
193.6532,0.3463,2.5778,10,2,137.7772,2.8094
256.465,0.062,0.5355,10,2,4.2832,11.8422
225.7841,0.3101,2.7263,12,0,77.1562,3.2289
314.1225,0.2236,3.6965,20,0,22.466,5.3646
264.6734,0.1816,2.644,10,1,20.488,3.92
140.7336,0.2676,3.5579,12,2,71.0817,6.0036
117.6422,0.196,3.0339,16,1,16.4385,13.0731
260.6048,0.312,0.922,16,2,66.6684,3.707
106.6278,0.3202,3.6586,10,2,124.9299,5.5179
246.4439,0.1765,0.7326,16,1,12.1418,6.9294
335.0576,0.133,2.3689,20,2,9.1412,8.4524
243.8685,0.2277,0.9975,16,2,35.8704,5.4284
197.0425,0.3237,0.541,16,2,75.075,4.7259
260.8221,0.1132,1.9771,20,0,5.9208,12.7622
214.5632,0.2369,1.5326,10,1,36.2228,3.7066
236.4042,0.2395,2.201,10,0,54.8406,3.328
335.3662,0.2699,2.5202,20,1,21.5956,4.1623
196.5257,0.0895,0.6531,20,1,2.7099,21.4295
340.2976,0.2647,0.9305,20,2,36.0585,4.1823
326.3377,0.3227,2.4552,16,1,38.7124,2.8623
148.9478,0.1039,1.7011,20,0,5.5176,24.3467
117.3403,0.1213,3.0521,12,0,12.6195,15.8886
125.1945,0.3414,2.783,16,0,75.4331,7.0523
104.5555,0.1043,3.4596,10,1,7.7905,17.2774
123.6107,0.3063,2.9237,10,0,97.089,4.9757
270.7517,0.1977,2.0048,10,1,24.1773,3.52
117.7972,0.1242,2.8554,16,0,10.0789,20.6088
179.7439,0.3112,1.4638,12,0,80.3944,4.0414
311.2188,0.1836,1.5721,20,1,9.9524,6.5947
105.818,0.2044,3.2614,20,0,22.1129,17.417
303.6171,0.1578,2.0625,10,2,26.0919,3.9331
170.4637,0.2279,3.2943,10,1,34.7502,4.8499
129.5412,0.0991,3.3785,16,1,4.4263,23.4913
274.1843,0.1673,3.5015,12,1,14.4184,4.9279
257.2357,0.3408,3.7082,20,2,63.6679,4.2978
319.368,0.1274,2.0084,16,1,6.1664,7.4063
283.7678,0.247,1.616,20,0,28.3883,5.3754
300.8702,0.1476,2.5377,10,0,19.7581,4.2437
170.5086,0.282,1.7991,20,0,39.6823,7.8352
144.3599,0.0893,2.6038,12,1,4.4468,17.5448
287.6537,0.3409,2.9696,12,0,88.7563,2.3052
301.7087,0.1861,2.9094,10,1,21.1262,3.3548
347.6263,0.1208,1.8109,12,0,10.5862,5.383
203.1544,0.072,1.084,12,2,4.9035,15.4457
193.0045,0.1009,2.0069,16,2,7.4518,15.4748
294.1032,0.2059,0.9991,20,2,22.5572,6.2214
185.2009,0.1511,3.6153,10,2,26.4938,6.7324
332.6893,0.2987,1.7106,10,1,52.5987,1.8961
314.6032,0.1793,1.0406,10,0,29.0594,3.3406
207.2485,0.1246,0.5891,10,2,17.7139,7.2949
287.7178,0.2351,2.7604,10,1,33.8477,2.7847
288.6357,0.262,2.7292,12,2,61.2969,2.9892
125.781,0.1001,1.6921,16,2,7.3486,23.9385
325.6382,0.1003,0.751,10,1,5.9973,5.7691
226.3131,0.061,1.9337,16,1,1.4697,21.8349
306.6144,0.2709,1.5893,16,0,41.3438,3.6288
180.0124,0.2491,2.8699,12,0,51.3147,5.041
323.8808,0.1924,2.6202,10,2,38.5549,3.0235
197.3004,0.3033,1.7761,12,2,87.6965,3.7786
102.7094,0.2917,1.2626,10,0,88.8208,6.2883
326.3455,0.2256,3.9581,12,0,37.9771,3.0707
122.8217,0.3105,2.089,16,1,41.5115,7.9048
179.8284,0.1118,2.909,10,0,12.0741,9.3749
337.5155,0.0836,0.9919,20,0,3.4067,13.3578
337.6518,0.1309,2.1996,16,2,11.2308,6.8188
243.3595,0.0671,0.5964,20,0,2.0872,23.066
257.9593,0.2094,2.2691,16,2,29.8957,5.5818
212.1114,0.331,3.8741,12,0,88.7514,3.2203
173.3027,0.0618,1.8447,10,1,2.5734,17.59
182.1661,0.0866,0.6365,16,0,4.7369,19.1007
268.1296,0.1857,0.6083,12,0,26.6543,4.5415
288.0936,0.3302,1.858,10,0,100.2698,1.9807
297.8948,0.1448,1.0601,10,2,22.2395,4.3663
297.4045,0.2022,0.5817,16,1,15.6307,5.0134
122.8015,0.0625,3.1467,10,0,3.916,24.558
223.6051,0.0945,2.1048,16,2,6.6714,14.2651
114.3897,0.346,1.5124,10,1,83.0964,4.7603
237.3822,0.3395,3.6503,20,2,64.5772,4.675
210.3826,0.0515,0.9065,12,2,2.6307,20.8736
321.926,0.3355,3.8457,20,1,33.4919,3.4882
187.7288,0.2417,1.5989,16,0,36.2304,6.6425
129.2668,0.3104,3.6094,20,2,57.9878,9.3915
135.7479,0.1864,2.6103,16,2,26.0298,11.9116
290.3777,0.2047,3.3935,10,0,38.4997,3.1699
254.5545,0.1967,3.944,10,0,36.5367,3.7635
125.2807,0.2501,1.5094,16,1,26.7466,9.6222
121.0267,0.0919,3.864,20,1,2.7545,33.8794
275.2423,0.059,1.8632,10,1,2.0323,11.603
118.1908,0.1424,1.8493,12,0,17.5418,13.4348
305.465,0.2614,1.6914,10,2,72.2075,2.3594
276.5606,0.1106,2.3949,12,2,10.8623,7.3942
120.3372,0.252,1.0395,20,1,22.0465,12.4239
121.2094,0.341,2.438,12,0,100.3342,5.4702
346.6599,0.0782,2.396,12,2,5.2375,8.3429
193.5677,0.2518,3.1667,12,1,34.6341,4.6388
192.6605,0.1831,3.4178,12,2,32.062,6.408
303.1999,0.3104,2.0415,10,2,101.9397,2.0016
336.8121,0.1031,1.5582,12,0,7.9794,6.5077
346.5003,0.2578,1.4077,10,0,58.205,2.1092
288.3445,0.3014,1.1812,12,2,81.1405,2.6011
194.0649,0.3334,0.7018,16,1,45.8259,4.6592
120.8752,0.255,1.6986,20,0,33.6064,12.2258
294.2867,0.1992,1.4459,12,2,35.3879,3.8575
239.6011,0.2354,3.8825,16,0,33.053,5.3455
206.0555,0.3107,2.452,12,0,78.5278,3.5316
326.5886,0.2212,1.7155,12,0,36.4049,3.1297
127.7994,0.0591,2.5316,12,2,3.4872,29.9245
223.1563,0.3293,0.9872,16,1,43.5478,4.1022
102.8384,0.2569,2.0542,20,1,22.9657,14.2647
217.1652,0.253,2.6918,16,1,25.8134,5.4874
114.0758,0.1147,2.2111,20,0,6.7547,28.7968
129.7045,0.2477,1.9062,12,2,61.527,7.0379
129.3816,0.1682,3.9785,10,0,28.8549,8.6594
262.3026,0.2454,3.5811,12,1,31.3925,3.5127
286.5112,0.082,2.6819,20,1,2.1102,16.0425
245.8422,0.2474,2.4928,16,2,42.3262,4.9571
340.5431,0.3498,2.6723,12,0,90.0619,1.8978
193.7176,0.0645,1.2046,16,1,1.6615,24.1389
171.428,0.3432,1.883,16,2,85.9003,5.1243
317.1498,0.1721,0.6381,16,0,16.3604,5.5236
155.899,0.3112,2.1644,12,0,81.5332,4.6595
340.8056,0.2847,2.4006,16,1,29.9,3.1066
103.0386,0.2201,1.2971,16,1,20.9514,13.2914
342.4697,0.2715,3.8741,12,0,54.1101,2.4312
110.79,0.3136,3.6831,16,0,63.9545,8.6774
322.7858,0.1712,3.0275,12,1,14.5483,4.0901
231.9253,0.1481,2.3669,20,0,10.4111,10.9693
348.2412,0.2503,3.5449,20,1,18.1084,4.3232
118.4491,0.2924,0.9573,20,0,44.3781,10.881
238.4636,0.2787,3.2668,16,1,30.8347,4.5359
342.3256,0.2893,0.9369,10,2,86.0808,1.9021
230.7745,0.1807,3.2797,10,1,20.9774,4.5185
257.3497,0.2954,1.4652,16,1,34.3443,3.9659
273.9372,0.0861,3.5698,10,2,8.0412,7.9913
213.6353,0.2133,3.8041,12,0,37.0003,4.9602
256.8895,0.0517,1.0208,10,2,2.7886,14.1779
246.0786,0.1474,2.1194,16,1,8.7133,8.3119
325.2895,0.1599,3.9335,16,0,14.3347,5.794
111.3616,0.1689,2.1919,12,2,28.9194,12.0232
170.2408,0.2586,3.5224,20,0,33.5419,8.5576
337.6029,0.1666,2.5606,16,0,15.1793,5.3605
