V,f,ap,D,work_material,tool_type,tool_material,coating,Ra,timp
-0.9629985978791542,0.41572295845378965,-0.8710415899408512,-0.25333402267855043,aluminum,CNMG,HSS,TiN,4.32,29.29
-1.3318272737111183,-0.5369754880028118,-1.216742008344024,-0.7057162060331051,cast_iron,endmill,Cermet,None,3.746,31.68
1.7586712103417128,-1.4203867747171148,-0.47904200835868216,-0.25333402267855043,steel,CNMG,HSS,TiAlN,2.442,22.79
1.8173554102061558,-0.6062626477451102,1.5766408367887557,-0.25333402267855043,steel,VNMG,Carbura,None,3.507,20.66
1.2674570917872707,-0.5542972779383863,-0.5253411715376785,0.19904816067600423,steel,drill,Carbura,None,3.266,21.33
-0.49413312538707765,0.779480547100856,0.13828016736126927,0.19904816067600423,steel,endmill,HSS,TiN,4.896,26.36
-1.2178035693112943,0.46768832826051343,0.7617755648384199,-1.1580983893876597,aluminum,endmill,Cermet,None,4.729,28.29
0.8332548254327408,1.2991342451680932,-0.3895302928792892,-1.1580983893876597,steel,drill,Carbura,TiN,4.842,22.33
-0.02009857829554236,-0.06928715974229835,1.675412384903948,-0.7057162060331051,cast_iron,endmill,Carbura,TiAlN,4.178,25.76
-1.132513838420226,-1.2298470854257948,1.6445462761179503,-1.1580983893876597,cast_iron,endmill,Carbura,TiN,3.84,30.28
0.17222140312549386,0.7275151772941323,-0.7691834309470592,-0.25333402267855043,steel,CNMG,HSS,TiAlN,4.379,23.77
-1.4390095558469531,0.883411286714303,0.06420150627487506,0.19904816067600423,steel,endmill,HSS,TiN,5.069,29.73
1.6203224490032593,0.22518326916246967,-0.6025064435026724,-1.1580983893876597,cast_iron,VNMG,Cermet,None,3.567,19.44
-0.6543744379702969,0.9007330766498777,-0.6580654393174681,-1.1580983893876597,cast_iron,VNMG,Cermet,None,4.662,25.64
0.7573910541053911,0.0,-1.4976235982966015,-0.7057162060331051,aluminum,drill,Cermet,TiAlN,3.448,23.57
-0.4693519736308493,0.08660894967787294,0.44694125522124484,2.008576894094223,cast_iron,endmill,HSS,TiAlN,4.262,27.48
0.2593355132869597,-0.22518326916246942,0.08272117154647361,-0.7057162060331051,aluminum,drill,HSS,TiAlN,3.916,24.64
0.3523788560772162,-1.541639304266137,-1.4482378242390055,-0.25333402267855043,aluminum,VNMG,Cermet,TiN,2.583,26.27
-0.9128281679432315,-1.2818124552325183,-0.6765851045890666,0.19904816067600423,aluminum,endmill,Cermet,TiN,3.166,30.9
